URL,Start,End,Objects
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002020035_00000,1,439,Dragonfly
,440,1152,Dragonfly
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002020036_00000,1,586,Dragonfly
,587,1405,Dragonfly
,1406,1963,Dragonfly
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002020073_00000,1,500,Butterfly
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002020127_00000,1,845,Butterfly
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002020133_00000,1,643,Snail
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002021002_00000,1,1503,Dragonfly
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002021054_00000,1,376,Bee
,377,1487,Bee
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002021059_00000,1,476,Dragonfly
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002021060_00000,1,395,Dragonfly
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002021795_00000,1,1714,Lizard
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002021800_00000,1,2766,Lizard
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002021807_00000,1,1129,Tortoise
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002021808_00000,1,530,Tortoise
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002022301_00000,1,288,Sunflower
,289,721,"Bee, Sunflower"
,722,1260,Sunflower
,1261,1884,Sunflower
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002022302_00000,1,717,Sunflower
,718,1137,Sunflower
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002022303_00000,525,1330,Bee
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002022310_00000,1,314,Swan
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002022367_00000,1,588,Frog
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030085_00000,1,658,Owl
,659,2153,Owl
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030158_00000,482,801,Frog
,802,1207,Frog
,1208,1683,Frog
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030179_00000,1,1424,Bee
,1425,2204,"Bee, Spider"
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030190_00000,339,688,Frog
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030191_00000,1,680,Sea lion
,681,1602,Sea lion
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030192_00000,1,579,Sea lion
,580,2376,Sea lion
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030197_00000,721,1018,Sea lion
,1019,1781,Sea lion
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030198_00000,1,1580,"Sea lion, Lizard"
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030208_00000,459,1259,Butterfly
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030290_00000,1,686,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030292_00000,1,1490,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030293_00000,1,266,Penguin
,267,591,Penguin
,592,1649,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030294_00000,1,502,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030296_00000,1,577,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030298_00000,1,564,Penguin
,565,950,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030300_00000,1,1854,Penguin
,1855,2590,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030301_00000,1,413,Penguin
,414,1512,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030302_00000,1,365,Penguin
,366,772,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030303_00000,1,278,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030304_00000,1,763,Penguin
,764,1700,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030305_00000,1,488,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030306_00000,1,892,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030307_00000,1,490,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030309_00000,1,1010,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030310_00000,1,601,Penguin
,602,854,Penguin
,855,1509,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030328_00000,1,2232,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030329_00000,1,1000,Penguin
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030440_00000,1,1509,Shark
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030441_00000,1,549,Shark
,550,1394,Shark
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030444_00000,1,1807,Shark
https://www2.nhk.or.jp/archives/creative/material/view.cgi?m=D0002030445_00000,1,521,Shark
